1609459840s | Voltage: 3.70 V, Current: 507.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 520.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 519.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 583.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 586.00 mA, SOC: 19.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 595.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.77 V, Current: 622.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.70 V, Current: 564.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 593.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 647.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 638.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.71 V, Current: 599.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 579.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.77 V, Current: 650.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 609.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 661.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 603.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 648.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 695.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.77 V, Current: 688.00 mA, SOC: 20.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.72 V, Current: 667.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 658.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.72 V, Current: 711.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 637.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 624.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.72 V, Current: 684.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.72 V, Current: 738.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 646.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.74 V, Current: 783.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.76 V, Current: 710.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.71 V, Current: 667.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.78 V, Current: 758.00 mA, SOC: 21.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.75 V, Current: 715.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.74 V, Current: 734.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.73 V, Current: 664.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.77 V, Current: 686.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.77 V, Current: 687.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.77 V, Current: 708.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.78 V, Current: 737.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.72 V, Current: 719.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.77 V, Current: 601.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.77 V, Current: 697.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.71 V, Current: 625.00 mA, SOC: 22.0 %, USB_Protocol: 136, USB_Current: 2000 mA
