1609459840s | Voltage: 3.77 V, Current: -717.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -712.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -713.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -712.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -714.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -717.00 mA, SOC: 91.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -713.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -713.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -714.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -713.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -718.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.77 V, Current: -714.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.76 V, Current: -714.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.76 V, Current: -713.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.76 V, Current: -714.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.76 V, Current: -718.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.76 V, Current: -717.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.76 V, Current: -714.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.76 V, Current: -714.00 mA, SOC: 90.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.76 V, Current: -714.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -720.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -719.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -715.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -715.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -715.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -720.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -721.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -715.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -715.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -715.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -720.00 mA, SOC: 89.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.76 V, Current: -721.00 mA, SOC: 88.0 %, USB_Protocol: 114, USB_Current: 5700 mA
