1609459712s | Voltage: 3.80 V, Current: 803.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.80 V, Current: 793.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.78 V, Current: 717.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459712s | Voltage: 3.84 V, Current: 800.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.84 V, Current: 754.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.80 V, Current: 802.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.83 V, Current: 765.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.83 V, Current: 762.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 863.00 mA, SOC: 13.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 809.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.84 V, Current: 793.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 820.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.78 V, Current: 695.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.84 V, Current: 815.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.79 V, Current: 791.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.80 V, Current: 775.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.83 V, Current: 761.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.82 V, Current: 828.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 847.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.83 V, Current: 797.00 mA, SOC: 14.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 708.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.78 V, Current: 752.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.79 V, Current: 798.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.85 V, Current: 875.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.80 V, Current: 778.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.85 V, Current: 811.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.80 V, Current: 815.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.81 V, Current: 825.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459840s | Voltage: 3.85 V, Current: 806.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.84 V, Current: 782.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.84 V, Current: 820.00 mA, SOC: 15.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.83 V, Current: 779.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.84 V, Current: 828.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.83 V, Current: 778.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.83 V, Current: 831.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.84 V, Current: 795.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.82 V, Current: 790.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.80 V, Current: 705.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.80 V, Current: 825.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.83 V, Current: 818.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.83 V, Current: 808.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.80 V, Current: 697.00 mA, SOC: 16.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.84 V, Current: 853.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.80 V, Current: 799.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.81 V, Current: 820.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.80 V, Current: 819.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.83 V, Current: 817.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.85 V, Current: 798.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.81 V, Current: 807.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.86 V, Current: 778.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.82 V, Current: 836.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.86 V, Current: 771.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.81 V, Current: 800.00 mA, SOC: 17.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.81 V, Current: 773.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609459968s | Voltage: 3.86 V, Current: 821.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 3.86 V, Current: 883.00 mA, SOC: 18.0 %, USB_Protocol: 136, USB_Current: 2000 mA
