1609460096s | Voltage: 3.99 V, Current: 895.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460096s | Voltage: 4.05 V, Current: 891.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 899.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 874.00 mA, SOC: 99.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 855.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 862.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.99 V, Current: 848.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 884.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 937.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 898.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.99 V, Current: 894.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.03 V, Current: 855.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 926.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.03 V, Current: 801.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 851.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 855.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 861.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.99 V, Current: 828.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 860.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 3.99 V, Current: 846.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.00 V, Current: 865.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 884.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 849.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 904.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 957.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 887.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.04 V, Current: 828.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
1609460224s | Voltage: 4.00 V, Current: 853.00 mA, SOC: 100.0 %, USB_Protocol: 136, USB_Current: 2000 mA
