1609459840s | Voltage: 3.43 V, Current: -1379.00 mA, SOC: 33.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.51 V, Current: -1527.00 mA, SOC: 33.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459840s | Voltage: 3.51 V, Current: -1419.00 mA, SOC: 33.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.38 V, Current: -1439.00 mA, SOC: 33.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.50 V, Current: -1486.00 mA, SOC: 33.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.51 V, Current: -1310.00 mA, SOC: 33.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.50 V, Current: -1586.00 mA, SOC: 32.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.51 V, Current: -1471.00 mA, SOC: 32.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.47 V, Current: -1331.00 mA, SOC: 32.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.49 V, Current: -1561.00 mA, SOC: 32.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.40 V, Current: -1530.00 mA, SOC: 32.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.45 V, Current: -1501.00 mA, SOC: 31.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.50 V, Current: -1400.00 mA, SOC: 31.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.40 V, Current: -1414.00 mA, SOC: 31.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.46 V, Current: -1544.00 mA, SOC: 31.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.48 V, Current: -1579.00 mA, SOC: 31.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.46 V, Current: -1541.00 mA, SOC: 30.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.43 V, Current: -1512.00 mA, SOC: 30.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.48 V, Current: -1594.00 mA, SOC: 30.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.48 V, Current: -1551.00 mA, SOC: 30.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.44 V, Current: -1527.00 mA, SOC: 29.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.47 V, Current: -1608.00 mA, SOC: 29.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.39 V, Current: -1544.00 mA, SOC: 29.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.49 V, Current: -1478.00 mA, SOC: 29.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.41 V, Current: -1702.00 mA, SOC: 28.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.48 V, Current: -1499.00 mA, SOC: 28.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.48 V, Current: -1405.00 mA, SOC: 28.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.41 V, Current: -1506.00 mA, SOC: 28.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609459968s | Voltage: 3.47 V, Current: -1651.00 mA, SOC: 27.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.40 V, Current: -1598.00 mA, SOC: 27.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.41 V, Current: -1597.00 mA, SOC: 27.0 %, USB_Protocol: 114, USB_Current: 5700 mA
1609460096s | Voltage: 3.48 V, Current: -1506.00 mA, SOC: 27.0 %, USB_Protocol: 114, USB_Current: 5700 mA
